title,cast,script,directing,date_published,likes,dislikes,views_num
ex-funcionário,evelyn castro,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
ex-funcionário,estevam nabote,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
ex-funcionário,noemia oliveira,pedro esteves,zaga martelletto,2021-05-24,46470.0,379.0,404536
vacinada,thati lopes,gregório duvivier,bianca frossard,2021-05-22,64951.0,1596.0,527924
plantananã - tudo sobre a cpi da covid,rafael infante,joão vicente de castro,vini videla,2021-05-21,44357.0,1522.0,322293
pfizer,antonio tabet,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,fábio porchat,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,joão vicente de castro,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
pfizer,gregório duvivier,gregório duvivier,rodrigo van der put,2021-05-20,126596.0,3800.0,888119
preocupadão com a covid #eumecuido - #shorts,joel vieira,jhonatan marques,,2021-05-19,7483.0,646.0,126044
chato demais,gregório duvivier,gustavo vilela,bianca frossard,2021-05-17,70925.0,1476.0,654094
tupperware,evelyn castro,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
tupperware,thati lopes,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
tupperware,antonio tabet,gustavo vilela,bianca frossard,2021-05-15,43360.0,696.0,431623
negociação,gregório duvivier,gregório duvivier,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,gregório duvivier,jhonatan marques,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,pedro benevides,gregório duvivier,rodrigo van der put,2021-05-13,71109.0,822.0,652472
negociação,pedro benevides,jhonatan marques,rodrigo van der put,2021-05-13,71109.0,822.0,652472
tá tudo bem,fábio de luca,gabriel esteves,zaga martelletto,2021-05-10,58925.0,944.0,504074
tá tudo bem,rafael infante,gabriel esteves,zaga martelletto,2021-05-10,58925.0,944.0,504074
katia,evelyn castro,matheus mad,bianca frossard,2021-05-08,42128.0,593.0,462903
katia,fábio de luca,matheus mad,bianca frossard,2021-05-08,42128.0,593.0,462903
rir é um ato de resistência,,,,2021-05-06,96884.0,739.0,446911
