title,views,cast,script,directing,likes,dislikes,dt_published
tá tudo bem,334867.0,fábio de luca,gabriel esteves,zaga martelletto,44800.0,651.0,2021-05-10
tá tudo bem,334867.0,rafael infante,gabriel esteves,zaga martelletto,44800.0,651.0,2021-05-10
katia,384456.0,evelyn castro,matheus mad,bianca frossard,37581.0,511.0,2021-05-08
katia,384456.0,fábio de luca,matheus mad,bianca frossard,37581.0,511.0,2021-05-08
rir é um ato de resistência,412737.0,,,,92594.0,688.0,2021-05-06
sonhei com você,423480.0,estevam nabote,matheus mad,bianca frossard,46417.0,338.0,2021-05-03
sonhei com você,423480.0,nathalia cruz,matheus mad,bianca frossard,46417.0,338.0,2021-05-03
diversidade,477663.0,gregório duviver,gustavo vilela,rodrigo van der put,53420.0,799.0,2021-05-01
diversidade,477663.0,rafael infante,gustavo vilela,rodrigo van der put,53420.0,799.0,2021-05-01
vida em marte,543461.0,joão vicente de castro,matheus mad,gigi soares,51774.0,1008.0,2021-04-29
vida em marte,543461.0,pedro benevides,matheus mad,gigi soares,51774.0,1008.0,2021-04-29
leilão online,869218.0,fábio porchat,jhonathan marques,bianca frossard,72699.0,843.0,2021-04-26
leilão online,869218.0,fábio porchat,edu araujo,bianca frossard,72699.0,843.0,2021-04-26
"amiga, pare",467961.0,thati lopes,nathalia cruz,rodrigo van der put,42214.0,1171.0,2021-04-24
"amiga, pare",467961.0,evelyn castro,nathalia cruz,rodrigo van der put,42214.0,1171.0,2021-04-24
eric querido,426112.0,gregório duvivier,gregório duvivier,rodrigo van der put,42127.0,1379.0,2021-04-22
eric querido,426112.0,evelyn castro,gregório duvivier,rodrigo van der put,42127.0,1379.0,2021-04-22
eric querido,426112.0,pedro benevides,gregório duvivier,rodrigo van der put,42127.0,1379.0,2021-04-22
eric querido,426112.0,thati lopes,gregório duvivier,rodrigo van der put,42127.0,1379.0,2021-04-22
eric querido,426112.0,antonio tabet,gregório duvivier,rodrigo van der put,42127.0,1379.0,2021-04-22
câmera ligada,633554.0,rafael infante,jhonatan marques,bianca frossard,53421.0,522.0,2021-04-19
câmera ligada,633554.0,noemia oliveira,jhonatan marques,bianca frossard,53421.0,522.0,2021-04-19
câmera ligada,633554.0,estevam nabote,jhonatan marques,bianca frossard,53421.0,522.0,2021-04-19
câmera ligada,633554.0,pedro benevides,jhonatan marques,bianca frossard,53421.0,522.0,2021-04-19
câmera ligada,633554.0,luiza ambiel,jhonatan marques,bianca frossard,53421.0,522.0,2021-04-19
